Index,Error
0,0.008259320256459812
1,0.00017018716732675188
2,5.263243211484081e-06
3,1.9602235745708185e-07
4,8.12945666339715e-09
5,3.617053323523578e-10
6,1.6912249378719935e-11
7,8.202327705930657e-13
8,4.085620730620576e-14
9,1.7763568394002505e-15
